Vertices:
0;New York;JFK International
1;Los Angeles;LAX
2;Chicago;O'Hare International
3;London;Heathrow
4;Tokyo;Narita International
5;Paris;Charles de Gaulle
6;Dubai;Dubai International
7;São Paulo;Guarulhos International
8;Frankfurt;Frankfurt Airport
9;Sydney;Sydney Kingsford Smith
10;Toronto;Toronto Pearson
11;Mexico City;Benito Juárez International
12;Beijing;Beijing Capital International
13;Moscow;Sheremetyevo International
14;Hong Kong;Hong Kong International

Arestas:
0;1;6;800
0;2;3;950
0;3;8;1800
0;5;9;1100
0;6;10;1300
0;7;12;700
0;8;7;950
0;9;15;1250
1;2;4;750
1;3;9;1400
1;5;6;850
1;6;13;1750
1;7;12;900
1;9;14;1000
2;3;5;1200
2;4;14;1700
2;5;4;800
2;6;11;600
2;8;9;1350
2;9;16;850
3;4;10;950
3;5;1.5;600
3;6;9;1800
3;7;15;750
3;8;7;1200
4;6;8;900
4;8;6;1100
4;9;10;700
5;6;6;1250
5;8;4;500
5;9;14;1350
6;7;12;900
6;8;9;600
6;9;14;1000
7;8;10;700
7;9;15;950
8;9;12;850
10;11;8;950
11;12;6;600
12;13;9;1400
13;14;7;1750
14;0;15;1600
